Model,Operating Threshold,TP,FP,FN,TN,Precision,Recall,F1,FPR
B0 (Baseline LightGBM),0.594298,1313,755,1770,84742,0.6349129593810445,0.42588387933830685,0.5098039215686275,0.008830719206521866
B1 (Entity Temporal),0.594298 | P_t>=0.70,1316,771,1767,84726,0.6305701964542405,0.4268569575089199,0.5090909090909091,0.009017860275799152
B2 (Relational OR),0.594298 | G_t>=0.60,1521,3887,1562,81610,0.28125,0.4933506325008109,0.35826168884701454,0.045463583517550324
B3 (Conditional Fusion),0.594298,1346,813,1737,84684,0.6234367762853172,0.4365877392150503,0.5135444486837084,0.009509105582652022
