Tier,Decision Threshold,Actions Included,TP,FP,FN,TN,Precision,Recall,F1,FPR,Legitimate Friction
Tier 1,R >= 0.60,VERIFY + THROTTLE + BLOCK,1343,798,1740,84699,0.6272769733769267,0.43561466104443725,0.5141653905053598,0.009333660830204569,0.009333660830204569
Tier 2,R >= 0.65,THROTTLE + BLOCK,1274,627,1809,84870,0.6701735928458706,0.41323386312033733,0.5112359550561798,0.00733359065230359,0.00733359065230359
Tier 3,R >= 0.80,BLOCK only,1081,295,2002,85202,0.7856104651162791,0.3506325008108985,0.4848620766988114,0.0034504134647999345,0.0034504134647999345
